listing_id,brand,model,sub_model,model_year,mileage,ACTUAL_PRICE,PREDICTED_PRICE,ERROR_THB,ABS_ERROR,APE_PCT,PRICE_BAND,brand_MODEL_CATEGORY,brand_IS_OTHER,model_MODEL_CATEGORY,model_IS_OTHER,sub_model_MODEL_CATEGORY,sub_model_IS_OTHER,ANY_OTHER
19036938,MCLAREN,765LT,,2021,2500,38900000.000000,6756555.635185,32143444.364815,32143444.364815,82.630962,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18846628,MCLAREN,765LT,,2021,7500,36900000.000000,6884622.657803,30015377.342197,30015377.342197,81.342486,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19309386,Rolls-Royce,Spectre,Black Badge,2026,2500,32900000.000000,3527123.119893,29372876.880107,29372876.880107,89.279261,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
14025630,MCLAREN,620R,,2020,2500,34900000.000000,6619140.482410,28280859.517590,28280859.517590,81.033981,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19328225,Mitsubishi,ATTRAGE,GLX,2018,96500,24500000.000000,300381.114321,24199618.885679,24199618.885679,98.773955,>=3M,Mitsubishi,False,ATTRAGE,False,GLX,False,False
19135261,Porsche,911,Speedster,2019,2500,29900000.000000,5820476.731532,24079523.268468,24079523.268468,80.533523,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18741441,Ferrari,SF90 Stradale,,2021,10198,29900000.000000,6271156.697255,23628843.302745,23628843.302745,79.026232,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19287725,MCLAREN,620R,,2020,7500,28900000.000000,6614769.722053,22285230.277947,22285230.277947,77.111523,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18720937,Ferrari,SF90 Stradale,,2023,7500,28900000.000000,6624868.502535,22275131.497465,22275131.497465,77.076580,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19302276,Rolls-Royce,GHOST,Black Badge,2025,2500,28950000.000000,7585918.301864,21364081.698136,21364081.698136,73.796483,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
15339365,Porsche,911,Dakar,2024,50,26500000.000000,5981795.498166,20518204.501834,20518204.501834,77.427187,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18818301,Ferrari,812,Superfast,2018,22500,27900000.000000,8723834.195842,19176165.804158,19176165.804158,68.731777,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18675758,Lamborghini,AVENTADOR,S,2020,7500,27900000.000000,8814567.633853,19085432.366147,19085432.366147,68.406568,>=3M,__OTHER__,True,__OTHER__,True,S,False,True
18693068,Ferrari,296,GTS,2023,2500,23900000.000000,5462476.434391,18437523.565609,18437523.565609,77.144450,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19283523,Ferrari,296,GTB,2023,2500,23900000.000000,5462476.434391,18437523.565609,18437523.565609,77.144450,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18616484,Ferrari,296,GTS,2024,7500,23900000.000000,5534656.034521,18365343.965479,18365343.965479,76.842443,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18855143,Ferrari,296,GTS,2024,7500,23900000.000000,5534656.034521,18365343.965479,18365343.965479,76.842443,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18815917,Ferrari,296,GTS,2023,7500,23900000.000000,5692065.565891,18207934.434109,18207934.434109,76.183826,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
17751572,Lamborghini,HURACAN,STO,2022,7500,25900000.000000,8118991.139714,17781008.860286,17781008.860286,68.652544,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19090540,Lamborghini,HURACAN,Sterrato,2024,2500,24900000.000000,7581162.381322,17318837.618678,17318837.618678,69.553565,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19128168,Ferrari,F8,Spider,2021,27500,22900000.000000,5900058.471984,16999941.528016,16999941.528016,74.235553,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19114651,Lamborghini,HURACAN,STO,2022,2500,24900000.000000,7990924.117096,16909075.882904,16909075.882904,67.907935,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19331224,Rolls-Royce,Cullinan,Black Badge,2021,34470,24000000.000000,7225222.045352,16774777.954648,16774777.954648,69.894908,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18693170,Ferrari,296,GTB,2023,2500,22200000.000000,5462476.434391,16737523.565609,16737523.565609,75.394250,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19273988,Ferrari,296,GTB,2024,2500,22000000.000000,5539026.794877,16460973.205123,16460973.205123,74.822605,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19294882,Rolls-Royce,GHOST,Extended,2023,2500,23800000.000000,7436680.450379,16363319.549621,16363319.549621,68.753443,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19084234,Ferrari,296,GTB,2024,3893,21900000.000000,5537809.101042,16362190.898958,16362190.898958,74.713200,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
17122880,Lamborghini,HURACAN,STO,2021,7500,23900000.000000,8042440.779228,15857559.220772,15857559.220772,66.349620,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
17927788,Lamborghini,HURACAN,STO,2022,5000,23900000.000000,8121176.519893,15778823.480107,15778823.480107,66.020182,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19287250,Porsche,911,GT3 Touring,2023,2500,21900000.000000,6632081.276271,15267918.723729,15267918.723729,69.716524,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
13169752,Mercedes-Benz,GT R,AMG,2022,7500,19900000.000000,4960368.625201,14939631.374799,14939631.374799,75.073524,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
11890096,Honda,NSX,,2017,4700,18900000.000000,4165137.044207,14734862.955793,14734862.955793,77.962238,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
11902990,Honda,NSX,,2017,2500,18900000.000000,4167060.178764,14732939.821236,14732939.821236,77.952063,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
11892099,Honda,NSX,,2017,4800,18500000.000000,4165049.628999,14334950.371001,14334950.371001,77.486218,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
19048078,Lamborghini,Urus,,2023,17500,18999999.000000,4847889.492223,14152109.507777,14152109.507777,74.484791,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
17275377,Lamborghini,HURACAN,Tecnica,2024,5000,21900000.000000,7906260.010952,13993739.989048,13993739.989048,63.898356,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
12902602,Lamborghini,Urus,Performante,2022,12500,18900000.000000,5022144.561874,13877855.438126,13877855.438126,73.427807,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18185196,Ferrari,Roma,,2022,12500,19900000.000000,6090790.819601,13809209.180399,13809209.180399,69.393011,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19289665,Lamborghini,HURACAN,STO,2022,7500,21900000.000000,8118991.139714,13781008.860286,13781008.860286,62.926981,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18782277,Maserati,MC20,,2022,7500,18900000.000000,5626642.912056,13273357.087944,13273357.087944,70.229403,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
13841220,Ferrari,458,Italia,2012,2500,19900000.000000,6681299.281785,13218700.718215,13218700.718215,66.425632,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19151253,Lamborghini,Urus,,2019,32500,17900000.000000,4777007.769149,13122992.230851,13122992.230851,73.312806,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18755417,Porsche,911,Turbo,1992,27500,17000000.000000,4030294.031333,12969705.968667,12969705.968667,76.292388,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
16972647,Rolls-Royce,GHOST,LWB,2018,2500,19900000.000000,6974812.749820,12925187.250180,12925187.250180,64.950690,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
12285122,Lamborghini,HURACAN,EVO Spyder,2019,14000,19900000.000000,7015225.543193,12884774.456807,12884774.456807,64.747610,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
14571909,Porsche,911,GT3,2018,2500,18900000.000000,6226806.278228,12673193.721772,12673193.721772,67.053935,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18261857,Porsche,911,GT3,2022,1600,19900000.000000,7229094.696758,12670905.303242,12670905.303242,63.672891,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
19336023,Porsche,911,Carrera GTS,2023,2500,18000000.000000,5462478.101182,12537521.898818,12537521.898818,69.652899,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
16375300,Ferrari,458,Italia,2011,22500,18500000.000000,6020996.027940,12479003.972060,12479003.972060,67.454076,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
12943258,Porsche,718,Cayman GT4 RS,2023,500,19900000.000000,7542269.012278,12357730.987722,12357730.987722,62.099151,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
19133414,MCLAREN,720S,,2020,17500,18300000.000000,6156269.015434,12143730.984566,12143730.984566,66.359186,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19287506,Lamborghini,MURCIELAGO,LP 640,2006,27500,19900000.000000,7800859.109652,12099140.890348,12099140.890348,60.799703,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18806821,Lamborghini,HURACAN,Tecnica,2024,7500,19900000.000000,7904074.630774,11995925.369226,11995925.369226,60.281032,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19294863,MCLAREN,720S,,2019,7500,17800000.000000,6058744.892722,11741255.107278,11741255.107278,65.962107,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18931721,MCLAREN,720S,,2020,97500,17500000.000000,6056621.566786,11443378.433214,11443378.433214,65.390734,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19068146,MCLAREN,720S,,2020,7500,17500000.000000,6135295.253208,11364704.746792,11364704.746792,64.941170,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
