SOURCE_ROW_NUMBER,listing_id,brand,model,sub_model,model_year,raw_price,title,source_url,price,STATUS,REASON,GROUP_USED,GROUP_SIZE,GROUP_MEDIAN_PRICE,GROUP_LOG_MAD,PRICE_TO_MEDIAN_RATIO,MODIFIED_Z_SCORE
1,19166191,Toyota,FORTUNER,Leader G,2025,"฿1,059,000",2025 Toyota FORTUNER 2.4 (ปี 15-25) Leader G SUV,https://www.one2car.com/en/for-sale/toyota-fortuner-leader-g-bangkok-metropolitan-kanchanaphisek/19166191,1059000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,16,1253993.6203984458,0.13834647543809275,0.8445019039758055,-0.8239898415508973
2,19180425,Toyota,VELLFIRE,ZG Edition,2020,"฿1,799,000",2020 Toyota VELLFIRE 2.5 (ปี 15-23) ZG Edition Van,https://www.one2car.com/en/for-sale/toyota-vellfire-zg-edition-bangkok-metropolitan-kanchanaphisek/19180425,1799000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,15,1889999.9999999986,0.08126296407876588,0.9518518518518518,-0.33283792082578006
3,19229871,Hyundai,H-1,Deluxe,2016,"฿589,000",2016 Hyundai H-1 2.5 (ปี 08-17) Deluxe Van,https://www.one2car.com/en/for-sale/hyundai-h-1-deluxe-bangkok-metropolitan-kanchanaphisek/19229871,589000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,15,589000.0000000002,0.14219494390710885,1.0,0.0
4,19180448,Honda,HR-V,EL,2017,"฿399,000",2017 Honda HR-V 1.8 (ปี 14-18) EL SUV,https://www.one2car.com/en/for-sale/honda-hr-v-el-bangkok-metropolitan-kanchanaphisek/19180448,399000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,38,398999.99999999965,0.07649311953149063,1.0,0.0
5,19341469,Toyota,HILUX REVO,Prerunner Mid Smart Cab,2024,"฿679,000",2024 Toyota HILUX REVO 2.4 Smart Cab Prerunner Mid Pickup AT,https://www.one2car.com/en/for-sale/toyota-hilux-revo-prerunner-mid-smart-cab-bangkok-metropolitan-kanchanaphisek/19341469?auc=true,679000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,97,512999.9999999998,0.12102663240222533,1.3235867446393765,1.562407291828272
6,19341337,Isuzu,MU-X,Ultimate,2023,"฿999,000",2023 Isuzu MU-X 3.0 (ปี 20-26) Ultimate 4WD SUV AT,https://www.one2car.com/en/for-sale/isuzu-mu-x-ultimate-bangkok-metropolitan-kanchanaphisek/19341337?auc=true,999000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,22,998000.0000000008,0.03986220142802743,1.0010020040080145,0.006755133263658264
7,19341456,Mercedes-Benz,S350,d AMG Premium,2018,"฿1,659,000",2019 Mercedes-Benz S350 2.9 W222 (ปี 13-21) d AMG Premium Sedan,https://www.one2car.com/en/for-sale/mercedes-benz-s350-d-amg-premium-bangkok-metropolitan-kanchanaphisek/19341456?auc=true,1659000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,16,2078398.9030020195,0.14938221927251227,0.7982105829654532,-1.0176627323537253
8,19185686,Honda,FREED,E,2010,"฿209,000",2010 Honda FREED 1.5 (ปี 08-16) E Wagon,https://www.one2car.com/en/for-sale/honda-freed-e-bangkok-metropolitan-kanchanaphisek/19185686?auc=true,209000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
9,19200658,Toyota,C-HR,HV Hi,2018,"฿394,000",2018 Toyota C-HR 1.8 (ปี 17-23) HV Hi SUV,https://www.one2car.com/en/for-sale/toyota-c-hr-hv-hi-bangkok-metropolitan-kanchanaphisek/19200658?auc=true,394000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,52,499000.0000000004,0.04010164287748719,0.7895791583166333,-1.59354123262943
10,19209681,Honda,HR-V,RS,2018,"฿479,000",2018 Honda HR-V 1.8 (ปี 14-18) RS SUV,https://www.one2car.com/en/for-sale/honda-hr-v-rs-bangkok-metropolitan-kanchanaphisek/19209681?auc=true,479000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,34,499000.0000000004,0.04090549834060475,0.9599198396793575,-0.275907586307379
