SOURCE_ROW_NUMBER,listing_id,price,PRICE_FILTER_MODE,USED_FOR_TRAIN,EXCLUSION_REASON,PCS_DATE
1,19166191,1059000,BASELINE,Y,,2026-09-18
2,19180425,1799000,BASELINE,Y,,2026-09-18
3,19229871,589000,BASELINE,Y,,2026-09-18
4,19180448,399000,BASELINE,Y,,2026-09-18
5,19341469,679000,BASELINE,Y,,2026-09-18
6,19341337,999000,BASELINE,Y,,2026-09-18
7,19341456,1659000,BASELINE,Y,,2026-09-18
8,19185686,209000,BASELINE,Y,,2026-09-18
9,19200658,394000,BASELINE,Y,,2026-09-18
10,19209681,479000,BASELINE,Y,,2026-09-18
11,19227092,719000,BASELINE,Y,,2026-09-18
12,19231929,774000,BASELINE,Y,,2026-09-18
13,19233059,484000,BASELINE,Y,,2026-09-18
14,19248289,1389000,BASELINE,Y,,2026-09-18
15,19340889,749000,BASELINE,Y,,2026-09-18
16,19004575,249000,BASELINE,Y,,2026-09-18
17,18815390,659000,BASELINE,Y,,2026-09-18
18,19008952,489000,BASELINE,Y,,2026-09-18
19,19339494,429000,BASELINE,Y,,2026-09-18
20,18948108,518000,BASELINE,Y,,2026-09-18
21,16932881,735000,BASELINE,Y,,2026-09-18
22,18981174,479000,BASELINE,Y,,2026-09-18
23,18742703,439000,BASELINE,Y,,2026-09-18
24,18981291,809000,BASELINE,Y,,2026-09-18
25,18944777,249000,BASELINE,Y,,2026-09-18
26,19118180,509000,BASELINE,Y,,2026-09-18
27,19042498,409000,BASELINE,Y,,2026-09-18
28,18815393,729000,BASELINE,Y,,2026-09-18
29,19341410,119000,BASELINE,Y,,2026-09-18
30,19299237,399000,BASELINE,Y,,2026-09-18
31,19300532,529000,BASELINE,Y,,2026-09-18
32,19302124,499000,BASELINE,Y,,2026-09-18
33,19302178,689000,BASELINE,Y,,2026-09-18
34,19310670,209000,BASELINE,Y,,2026-09-18
35,18812426,379000,BASELINE,Y,,2026-09-18
36,19310820,519000,BASELINE,Y,,2026-09-18
37,18813933,920000,BASELINE,Y,,2026-09-18
38,19336283,1090000,BASELINE,Y,,2026-09-18
39,19341370,459000,BASELINE,Y,,2026-09-18
40,18673777,298000,BASELINE,Y,,2026-09-18
41,19305163,188000,BASELINE,Y,,2026-09-18
42,19339893,208000,BASELINE,Y,,2026-09-18
43,19286575,349000,BASELINE,Y,,2026-09-18
44,19213182,899000,BASELINE,Y,,2026-09-18
45,18587644,549000,BASELINE,Y,,2026-09-18
46,18680826,879000,BASELINE,Y,,2026-09-18
47,18764761,959000,BASELINE,Y,,2026-09-18
48,19179321,859000,BASELINE,Y,,2026-09-18
49,18037302,269000,BASELINE,Y,,2026-09-18
50,18510750,329000,BASELINE,Y,,2026-09-18
51,19052722,759000,BASELINE,Y,,2026-09-18
52,19214738,1079000,BASELINE,Y,,2026-09-18
53,19271454,479000,BASELINE,Y,,2026-09-18
54,18601517,599000,BASELINE,Y,,2026-09-18
55,18709643,369000,BASELINE,Y,,2026-09-18
56,19271433,549000,BASELINE,Y,,2026-09-18
57,18679334,689000,BASELINE,Y,,2026-09-18
58,19212965,1259000,BASELINE,Y,,2026-09-18
59,18875011,519000,BASELINE,Y,,2026-09-18
60,19174016,639000,BASELINE,Y,,2026-09-18
61,17991013,395000,BASELINE,Y,,2026-09-18
62,19187738,1197000,BASELINE,Y,,2026-09-18
63,19223544,659000,BASELINE,Y,,2026-09-18
64,19203989,499000,BASELINE,Y,,2026-09-18
65,19298193,899000,BASELINE,Y,,2026-09-18
66,19315882,1759000,BASELINE,Y,,2026-09-18
67,19299658,739000,BASELINE,Y,,2026-09-18
68,19246599,499000,BASELINE,Y,,2026-09-18
69,19318912,529000,BASELINE,Y,,2026-09-18
70,18950941,325000,BASELINE,Y,,2026-09-18
71,18825513,948000,BASELINE,Y,,2026-09-18
72,19338695,349000,BASELINE,Y,,2026-09-18
73,19319930,300000,BASELINE,Y,,2026-09-18
74,19227611,448000,BASELINE,Y,,2026-09-18
75,19288785,379000,BASELINE,Y,,2026-09-18
76,19318565,469000,BASELINE,Y,,2026-09-18
77,19176165,1398000,BASELINE,Y,,2026-09-18
78,19243471,1549000,BASELINE,Y,,2026-09-18
79,18916584,1199000,BASELINE,Y,,2026-09-18
80,19310830,450000,BASELINE,Y,,2026-09-18
81,19287582,595000,BASELINE,Y,,2026-09-18
82,19174530,538000,BASELINE,Y,,2026-09-18
83,18599537,325000,BASELINE,Y,,2026-09-18
84,19311494,398000,BASELINE,Y,,2026-09-18
85,19313429,159000,BASELINE,Y,,2026-09-18
86,18261960,499000,BASELINE,Y,,2026-09-18
87,19322182,1700000,BASELINE,Y,,2026-09-18
88,19322195,449000,BASELINE,Y,,2026-09-18
89,19322206,519000,BASELINE,Y,,2026-09-18
90,19322225,319000,BASELINE,Y,,2026-09-18
91,19322249,459000,BASELINE,Y,,2026-09-18
92,19322669,629000,BASELINE,Y,,2026-09-18
93,17443639,999000,BASELINE,Y,,2026-09-18
94,19009351,1490000,BASELINE,Y,,2026-09-18
95,19322958,699000,BASELINE,Y,,2026-09-18
96,19129864,589000,BASELINE,Y,,2026-09-18
97,19022343,409000,BASELINE,Y,,2026-09-18
98,18789362,574000,BASELINE,Y,,2026-09-18
99,18578643,1300000,BASELINE,Y,,2026-09-18
100,19174764,1499000,BASELINE,Y,,2026-09-18
101,18962046,454000,BASELINE,Y,,2026-09-18
102,18852792,384000,BASELINE,Y,,2026-09-18
103,18942645,499000,BASELINE,Y,,2026-09-18
104,18820308,564000,BASELINE,Y,,2026-09-18
105,18820275,249000,BASELINE,Y,,2026-09-18
106,18957938,229000,BASELINE,Y,,2026-09-18
107,18838767,269000,BASELINE,Y,,2026-09-18
108,19033807,504000,BASELINE,Y,,2026-09-18
109,18893774,269000,BASELINE,Y,,2026-09-18
110,19010081,669000,BASELINE,Y,,2026-09-18
111,19337515,234000,BASELINE,Y,,2026-09-18
112,19310063,289000,BASELINE,Y,,2026-09-18
113,19297946,699000,BASELINE,Y,,2026-09-18
114,19263843,234000,BASELINE,Y,,2026-09-18
115,18813578,279000,BASELINE,Y,,2026-09-18
116,19327672,2990000,BASELINE,Y,,2026-09-18
117,19341269,969000,BASELINE,Y,,2026-09-18
118,19341258,439000,BASELINE,Y,,2026-09-18
119,19302778,669000,BASELINE,Y,,2026-09-18
120,19332886,269000,BASELINE,Y,,2026-09-18
121,19327661,615000,BASELINE,Y,,2026-09-18
122,18616479,399000,BASELINE,Y,,2026-09-18
123,19305818,365000,BASELINE,Y,,2026-09-18
124,19305836,185000,BASELINE,Y,,2026-09-18
125,19341187,419000,BASELINE,Y,,2026-09-18
126,19336008,399000,BASELINE,Y,,2026-09-18
127,19299260,1249000,BASELINE,Y,,2026-09-18
128,19297915,1859000,BASELINE,Y,,2026-09-18
129,19294985,795000,BASELINE,Y,,2026-09-18
130,18910185,544000,BASELINE,Y,,2026-09-18
131,19339742,2150000,BASELINE,Y,,2026-09-18
132,19339740,269000,BASELINE,Y,,2026-09-18
133,19339738,89000,BASELINE,Y,,2026-09-18
134,19339732,509000,BASELINE,Y,,2026-09-18
135,19339762,589000,BASELINE,Y,,2026-09-18
136,19339726,399000,BASELINE,Y,,2026-09-18
137,19339725,489000,BASELINE,Y,,2026-09-18
138,18692920,599000,BASELINE,Y,,2026-09-18
139,19305802,1950000,BASELINE,Y,,2026-09-18
140,18575587,699000,BASELINE,Y,,2026-09-18
141,19335562,699000,BASELINE,Y,,2026-09-18
142,18984025,489000,BASELINE,Y,,2026-09-18
143,19312731,459000,BASELINE,Y,,2026-09-18
