MODEL_ID,FEATURE_SEQ,SOURCE_COLUMN,ORIGINAL_VALUE,FEATURE_NAME,FEATURE_TYPE,COEFFICIENT,P_VALUE,SOURCE_FEATURE_P_VALUE,CI_LOWER,CI_UPPER,IS_REFERENCE,PCS_DATE
20260920_092442,1,,,(Intercept),INTERCEPT,-174786362.98192465,0.0,,-180229924.42981613,-169342801.53403318,N,2026-09-18
20260920_092442,2,brand,Toyota,,ONEHOT,,,0.0,,,Y,2026-09-18
20260920_092442,3,brand,Audi,brand=Audi,ONEHOT,-312238.0911217396,7.164545487508489e-05,0.0,-466345.33140061796,-158130.85084286125,N,2026-09-18
20260920_092442,4,brand,BMW,brand=BMW,ONEHOT,83807.12727328936,0.06474434050783014,0.0,-5125.060173473335,172739.31472005206,N,2026-09-18
20260920_092442,5,brand,BYD,brand=BYD,ONEHOT,292773.2442860868,0.007299449710345314,0.0,78893.32130043133,506653.1672717423,N,2026-09-18
20260920_092442,6,brand,Chevrolet,brand=Chevrolet,ONEHOT,-241069.6223055059,0.002058048486559687,0.0,-394382.5254981268,-87756.71911288501,N,2026-09-18
20260920_092442,7,brand,Ford,brand=Ford,ONEHOT,2217.6907912557435,0.985895005992,0.0,-243652.47364786296,248087.85523037444,N,2026-09-18
20260920_092442,8,brand,Haval,brand=Haval,ONEHOT,56550.14513082788,0.6205212567411709,0.0,-167316.83360979476,280417.12387145055,N,2026-09-18
20260920_092442,9,brand,Honda,brand=Honda,ONEHOT,495604.98733026686,4.204347126862933e-18,0.0,383666.01163262955,607543.9630279042,N,2026-09-18
20260920_092442,10,brand,Hyundai,brand=Hyundai,ONEHOT,23966.010499747346,0.7429803339961668,0.0,-119286.46547107882,167218.48647057352,N,2026-09-18
20260920_092442,11,brand,Isuzu,brand=Isuzu,ONEHOT,-380431.58688740316,0.0019328536988404308,0.0,-620919.992290856,-139943.18148395035,N,2026-09-18
20260920_092442,12,brand,Kia,brand=Kia,ONEHOT,256862.22156922452,0.005692291152854749,0.0,74791.04515661986,438933.3979818292,N,2026-09-18
20260920_092442,13,brand,Land Rover,brand=Land Rover,ONEHOT,1870654.3795206852,8.938864455529364e-72,0.0,1666478.0386477099,2074830.7203936605,N,2026-09-18
20260920_092442,14,brand,Lexus,brand=Lexus,ONEHOT,167093.27879955305,0.11265983369187366,0.0,-39355.41949231585,373541.97709142196,N,2026-09-18
20260920_092442,15,brand,MG,brand=MG,ONEHOT,-72570.54430478331,0.2649278152043984,0.0,-200159.24404651142,55018.15543694481,N,2026-09-18
20260920_092442,16,brand,Mazda,brand=Mazda,ONEHOT,-415407.052104262,2.389846050350412e-15,0.0,-518173.59027300245,-312640.51393552154,N,2026-09-18
20260920_092442,17,brand,Mercedes-Benz,brand=Mercedes-Benz,ONEHOT,210069.24472458282,1.22042620676963e-07,0.0,132257.62342236252,287880.86602680315,N,2026-09-18
20260920_092442,18,brand,Mini,brand=Mini,ONEHOT,32241.77738509452,0.6405867312421039,0.0,-103113.31917353816,167596.8739437272,N,2026-09-18
20260920_092442,19,brand,Mitsubishi,brand=Mitsubishi,ONEHOT,116680.58402452912,0.024890428835597514,0.0,14728.888597043231,218632.279452015,N,2026-09-18
20260920_092442,20,brand,Nissan,brand=Nissan,ONEHOT,-6251.4827547211535,0.8836128111539361,0.0,-89952.20329091267,77449.23778147035,N,2026-09-18
20260920_092442,21,brand,Porsche,brand=Porsche,ONEHOT,2387080.987109733,0.0,0.0,2267388.6723625436,2506773.301856922,N,2026-09-18
20260920_092442,22,brand,Subaru,brand=Subaru,ONEHOT,-332915.586795847,4.7498286908271065e-05,0.0,-493315.0003828971,-172516.1732087969,N,2026-09-18
20260920_092442,23,brand,Suzuki,brand=Suzuki,ONEHOT,289283.6220168614,1.3303302234515885e-05,0.0,159107.8639434587,419459.3800902641,N,2026-09-18
20260920_092442,24,brand,Volkswagen,brand=Volkswagen,ONEHOT,222214.2586751371,0.011633765914472976,0.0,49597.10751894483,394831.40983132937,N,2026-09-18
20260920_092442,25,brand,Volvo,brand=Volvo,ONEHOT,257948.58618357457,6.807760608198722e-05,0.0,131024.82732398454,384872.3450431646,N,2026-09-18
20260920_092442,26,brand,__OTHER__,brand=__OTHER__,ONEHOT,2393528.5603732243,0.0,0.0,2284349.5342584397,2502707.586488009,N,2026-09-18
20260920_092442,27,model,__OTHER__,,ONEHOT,,,6.113620227721903e-158,,,Y,2026-09-18
20260920_092442,28,model,2,model=2,ONEHOT,544099.9371810205,4.627141150386659e-19,6.113620227721903e-158,424624.249849446,663575.624512595,N,2026-09-18
20260920_092442,29,model,3,model=3,ONEHOT,-39384.51331359235,0.5988685850441575,6.113620227721903e-158,-186133.7491585709,107364.72253138619,N,2026-09-18
20260920_092442,30,model,320d,model=320d,ONEHOT,-73233.71244504768,0.32074185360562296,6.113620227721903e-158,-217793.5332566936,71326.10836659823,N,2026-09-18
20260920_092442,31,model,ACCORD,model=ACCORD,ONEHOT,-688626.5231183635,1.0867248410755499e-22,6.113620227721903e-158,-826206.108558238,-551046.9376784889,N,2026-09-18
20260920_092442,32,model,ALMERA,model=ALMERA,ONEHOT,388256.29525419313,2.606377954479657e-10,6.113620227721903e-158,267892.1731529072,508620.41735547903,N,2026-09-18
20260920_092442,33,model,ALPHARD,model=ALPHARD,ONEHOT,181494.15978770316,0.008234600052259629,6.113620227721903e-158,46871.16241624605,316117.15715916024,N,2026-09-18
20260920_092442,34,model,ATTRAGE,model=ATTRAGE,ONEHOT,167791.6859869473,0.05446167826335833,6.113620227721903e-158,-3212.467270377092,338795.8392442717,N,2026-09-18
20260920_092442,35,model,CAMRY,model=CAMRY,ONEHOT,-558067.6075071954,4.103776871461285e-26,6.113620227721903e-158,-661466.4488923922,-454668.7661219987,N,2026-09-18
20260920_092442,36,model,CIVIC,model=CIVIC,ONEHOT,-573171.7033695194,5.799817511811568e-19,6.113620227721903e-158,-699385.8941108657,-446957.5126281732,N,2026-09-18
20260920_092442,37,model,CR-V,model=CR-V,ONEHOT,-669878.5654928465,1.7663801192317636e-23,6.113620227721903e-158,-801272.4123235262,-538484.7186621669,N,2026-09-18
20260920_092442,38,model,CX-5,model=CX-5,ONEHOT,14343.321166567242,0.8476629335539891,6.113620227721903e-158,-132002.3329306619,160688.9752637964,N,2026-09-18
